Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,1618.50,3.00,20.00,32370.00, $-   ,32370.00,16185.00,16185.00,41640.00,1.00, January ,2014.00
Government,Germany, Carretera , None ,1321.00,3.00,20.00,26420.00, $-   ,26420.00,13210.00,13210.00,41640.00,1.00, January ,2014.00
Midmarket,France, Carretera , None ,2178.00,3.00,15.00,32670.00, $-   ,32670.00,21780.00,10890.00,41645.00,6.00, June ,2014.00
Midmarket,Germany, Carretera , None ,888.00,3.00,15.00,13320.00, $-   ,13320.00,8880.00,4440.00,41645.00,6.00, June ,2014.00
Midmarket,Mexico, Carretera , None ,2470.00,3.00,15.00,37050.00, $-   ,37050.00,24700.00,12350.00,41645.00,6.00, June ,2014.00
Government,Germany, Carretera , None ,1513.00,3.00,350.00," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",41651.00,12.00, December ,2014.00
Midmarket,Germany, Montana , None ,921.00,5.00,15.00,13815.00, $-   ,13815.00,9210.00,4605.00,41642.00,3.00, March ,2014.00
Channel Partners,Canada, Montana , None ,2518.00,5.00,12.00,30216.00, $-   ,30216.00,7554.00,22662.00,41645.00,6.00, June ,2014.00
Government,France, Montana , None ,1899.00,5.00,20.00,37980.00, $-   ,37980.00,18990.00,18990.00,41645.00,6.00, June ,2014.00
Channel Partners,Germany, Montana , None ,1545.00,5.00,12.00,18540.00, $-   ,18540.00,4635.00,13905.00,41645.00,6.00, June ,2014.00
Midmarket,Mexico, Montana , None ,2470.00,5.00,15.00,37050.00, $-   ,37050.00,24700.00,12350.00,41645.00,6.00, June ,2014.00
Enterprise,Canada, Montana , None ,2665.50,5.00,125.00," $3,33,187.50 ", $-   ," $3,33,187.50 "," $3,19,860.00 ",13327.50,41646.00,7.00, July ,2014.00
